CHEM,SMILES
CHLOROQUINE,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
CHOLIC-ACID,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
CHOLINE,C[N+](C)(C)CCO
CHOLINE-SALICYLATE,C[N+](C)(C)CCO.C1=CC=C(C(=C1)C(=O)O)[O-]
CHONDROCURINE,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)O)O3)N(CCC6=CC(=C5O)OC)C)OC
CHONEMORPHINE,CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)N)C)C)N(C)C
CHRISTYOSIDE,CC1C(C(C(C(O1)OC2CCC3(C(C2)CCC4C3CCC5(C4(CCC5C6=CC(=O)OC6)O)C)C=O)O)OC)O
CHROMIUM,[Cr]
CHROMOLAENIDE,"CC1=CCC(C(=CC2C(C(C1)OC(=O)C(=CCO)C)C(=C)C(=O)O2)C)OC(=O)C
CC1=CCC(C(=CC2C(C(C1)OC(=O)C(=CCO)C)C(=C)C(=O)O2)C)OC(=O)C
CC1=CCC(C(=CC2C(C(C1)OC(=O)C(=CCO)C)C(=C)C(=O)O2)C)OC(=O)C
CC1=CCC(C(=CC2C(C(C1)OC(=O)C(=CCO)C)C(=C)C(=O)O2)C)OC(=O)C
CC1=CCC(C(=CC2C(C(C1)OC(=O)C(=CCO)C)C(=C)C(=O)O2)C)OC(=O)C"
CHRYSANTHEMIC-ACID,CC(=CC1C(C1(C)C)C(=O)O)C
CHRYSANTHEMOL,CC(=CC1C(C1(C)C)CO)C
CHRYSAZIN,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O
CHRYSIN,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O
CHRYSO-OBTUSIN,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)OC)OC)OC
CHRYSOERIOL,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
CHRYSOPHANOL,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O
CHRYSOPHANOL-8-GLUCOSIDE,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3OC4C(C(C(C(O4)CO)O)O)O
CHRYSOSPLENETIN,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)OC)O)OC)O
CHRYSOSPLENIN,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)OC)O)OC)OC4C(C(C(C(O4)CO)O)O)O
CHRYSOSPLENOL,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)O)O)OC)O
CHRYSOSPLENOL-C,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)O)O)OC)O
CHRYSOSPLENOL-D,COC1=C(C(=C2C(=C1)OC(=C(C2=O)OC)C3=CC(=C(C=C3)O)O)O)OC
CHRYSOSPLENOL-E,COC1=CC(=C2C(=C1)OC(=C(C2=O)OC)C3=CC(=C(C=C3O)OC)OC)O
CHRYSOSPLENOL-F,COC1=CC(=C2C(=C1)OC(=C(C2=O)OC)C3=CC(=C(C=C3O)O)OC)O
CHRYSOSPLENOL-G,COC1=CC(=C2C(=C1)OC(=C(C2=O)OC)C3=CC(=C(C=C3OC)OC)O)O
CHRYSOSPLENOSIDE-A,COC1=CC(=C2C(=C1)OC(=C(C2=O)OC)C3=CC(=C(C=C3OC4C(C(C(C(O4)CO)O)O)O)OC)O)O
CHRYSOSPLENOSIDE-D,COC1=C(C(=C2C(=C1)OC(=C(C2=O)OC)C3=CC(=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC
CHUANLIANSU,"CC(=O)OC1CC(C23COC(C1(C2CC(C4(C3C(=O)C(C5(C46C(O6)CC5C7=COC=C7)C)OC(=O)C)C)O)C)O)O
CC(=O)OC1CC(C23COC(C1(C2CC(C4(C3C(=O)C(C5(C46C(O6)CC5C7=COC=C7)C)OC(=O)C)C)O)C)O)O
CC(=O)OC1CC(C23COC(C1(C2CC(C4(C3C(=O)C(C5(C46C(O6)CC5C7=COC=C7)C)OC(=O)C)C)O)C)O)O
CC(=O)OC1CC(C23COC(C1(C2CC(C4(C3C(=O)C(C5(C46C(O6)CC5C7=COC=C7)C)OC(=O)C)C)O)C)O)O"
CHYMOPAPAIN,C1=C(C=C(C(=C1O)O)S(=O)(=O)O)S(=O)(=O)O
CIBARIAN,C(C[N+](=O)[O-])C(=O)OCC1C(C(C(C(O1)OC(=O)CC[N+](=O)[O-])O)O)O
CICHORIC-ACID,C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)C(=O)O)O)O
CICHORIIN,C1=CC(=O)OC2=CC(=C(C=C21)O)OC3C(C(C(C(O3)CO)O)O)O
CICUTOXIN,CCCC(C=CC=CC=CC#CC#CCCCO)O
CIMIFUGIN,CC(C)(C1CC2=C(O1)C=C3C(=C2OC)C(=O)C=C(O3)CO)O
CINCHONAIN-IIB,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=C3C(=CC5=C4C(CC(=O)O5)C6=CC(=C(C=C6)O)O)O)C7=CC(=C(C=C7)O)O)O)O)O)C8=CC(=C(C=C8)O)O)O
CINCHONAMINE,"C=CC1CN2CCC1CC2C3=C(C4=CC=CC=C4N3)CCO
C=CC1CN2CCC1CC2C3=C(C4=CC=CC=C4N3)CCO
C=CC1CN2CCC1CC2C3=C(C4=CC=CC=C4N3)CCO
C=CC1CN2CCC1CC2C3=C(C4=CC=CC=C4N3)CCO"
CINCHONIDINE,C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O
CINCHONINE,"C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O
C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O
C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O
C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O
C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O
C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O
C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O
C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O
C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O
C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O
C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O
C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O
C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O
C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O"
CINNAMALDEHYDE,C1=CC=C(C=C1)C=CC=O
CINNAMATE,C1=CC=C(C=C1)C=CC(=O)[O-]
CINNAMIC-ACID,C1=CC=C(C=C1)C=CC(=O)O
CINNAMODIAL,CC(=O)OC1C=C(C(C2(C1C(CCC2)(C)C)C)(C=O)O)C=O
CINNAMOLIDE,CC1(CCCC2(C1CC=C3C2COC3=O)C)C
CINNAMOSMOLIDE,CC(=O)OC1C=C2C(=O)OCC2(C3(C1C(CCC3)(C)C)C)O
CINNAMYL RICINOLEATE,CCCCCCC(CC=CCCCCCCCC(=O)OCC=CC1=CC=CC=C1)O
CINNAMYL-ACETATE,CC(=O)OCC=CC1=CC=CC=C1
CINNAMYL-ALCOHOL,C1=CC=C(C=C1)C=CCO
CINNAMYL-ANTHRANILATE,C1=CC=C(C=C1)C=CCOC(=O)C2=CC=CC=C2N
CINNAMYL-BUTYRATE,CCCC(=O)OCC=CC1=CC=CC=C1
CINNAMYL-CINNAMATE,C1=CC=C(C=C1)C=CCOC(=O)C=CC2=CC=CC=C2
CINNAMYL-FORMATE,C1=CC=C(C=C1)C=CCOC=O
CINNAMYL-ISOBUTYRATE,CC(C)C(=O)OCC=CC1=CC=CC=C1
CINNAMYL-ISOVALERATE,CC(C)CC(=O)OCC=CC1=CC=CC=C1
CINNAMYL-PROPIONATE,CCC(=O)OCC=CC1=CC=CC=C1
CIRSILINEOL,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)O)O
CIRSILIOL,COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O)OC
CIRSIMARITIN,COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O)OC
CIS-3-HEXENAL,CCC=CCC=O
CIS-3-HEXENOL,CCC=CCCO
CIS-3-HEXENYL-ISOVALERATE,CCC=CCCOC(=O)CC(C)C
CIS-ANETHOLE,CC=CC1=CC=C(C=C1)OC
CIS-HEX-3-EN-1-OL,CCC=CCCO
CIS-HINOKIRESINOL,"C=CC(C=CC1=CC=C(C=C1)O)C2=CC=C(C=C2)O
C=CC(C=CC1=CC=C(C=C1)O)C2=CC=C(C=C2)O
C=CC(C=CC1=CC=C(C=C1)O)C2=CC=C(C=C2)O"
CISSAMPAREINE,CN1CCC2=CC(=C(C3=C2C1CC4=CC=C(COC5=C(C=C6CCN=C(C6=C5O)CC7=CC=C(O3)C=C7)OC)C=C4)OC)OC
CITPRESSINE-I,CN1C2=C(C(=CC(=C2)OC)O)C(=O)C3=C1C(=C(C=C3)O)OC
CITRAL,CC(=CCCC(=CC=O)C)C
CITRIC-ACID,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
CITRININ,CC1C(OC=C2C1=C(C(=C(C2=O)C(=O)O)O)C)C
CITRONELLAL,CC(CCC=C(C)C)CC=O
CITRONELLOL,CC(CCC=C(C)C)CCO
CITRONELLYL-ACETATE,CC(CCC=C(C)C)CCOC(=O)C
CITRONELLYL-BUTYRATE,CCCC(=O)OCCC(C)CCC=C(C)C
CITRONELLYL-FORMATE,CC(CCC=C(C)C)CCOC=O
CITRONELLYL-ISOBUTYRATE,CC(C)C(=O)OCCC(C)CCC=C(C)C
CITRONELLYL-PHENYLACETATE,CC(CCC=C(C)C)CCOC(=O)CC1=CC=CC=C1
CITRONELLYL-PROPIONATE,CCC(=O)OCCC(C)CCC=C(C)C
CITRONELLYL-VALERATE,CCCCC(=O)OCCC(C)CCC=C(C)C
CITRULLINE,C(CC(C(=O)O)N)CNC(=O)N
CLAUSENAMIDE,CN1C(C(C(C1=O)O)C2=CC=CC=C2)C(C3=CC=CC=C3)O
CLEISTANTHIN,"COC1COC(C(C1OC)O)OC2=C3COC(=O)C3=C(C4=CC(=C(C=C42)OC)OC)C5=CC6=C(C=C5)OCO6
COC1COC(C(C1OC)O)OC2=C3COC(=O)C3=C(C4=CC(=C(C=C42)OC)OC)C5=CC6=C(C=C5)OCO6
COC1COC(C(C1OC)O)OC2=C3COC(=O)C3=C(C4=CC(=C(C=C42)OC)OC)C5=CC6=C(C=C5)OCO6
COC1COC(C(C1OC)O)OC2=C3COC(=O)C3=C(C4=CC(=C(C=C42)OC)OC)C5=CC6=C(C=C5)OCO6"
CLEOMISCOSIN-A,COC1=C(C=CC(=C1)C2C(OC3=C4C(=CC(=C3O2)OC)C=CC(=O)O4)CO)O
CLERODENDRIN,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)O)O
CLERODIN,"CC1CC(C2(C(C1(C)C3CC4C=COC4O3)CCCC25CO5)COC(=O)C)OC(=O)C
CC1CC(C2(C(C1(C)C3CC4C=COC4O3)CCCC25CO5)COC(=O)C)OC(=O)C
CC1CC(C2(C(C1(C)C3CC4C=COC4O3)CCCC25CO5)COC(=O)C)OC(=O)C
CC1CC(C2(C(C1(C)C3CC4C=COC4O3)CCCC25CO5)COC(=O)C)OC(=O)C
CC1CC(C2(C(C1(C)C3CC4C=COC4O3)CCCC25CO5)COC(=O)C)OC(=O)C"
CLITORIACETAL,COC1=CC(=C2C(=C1)OC3C(OC4=CC(=C(C=C4C3(C2=O)O)OC)OC)O)O
CLIVORINE,"CC1C=C(C(=O)OC2CC[N+]3(C2(C(=CC3)COC(=O)C1(C)OC(=O)C)O)C)C=C
CC1C=C(C(=O)OC2CC[N+]3(C2(C(=CC3)COC(=O)C1(C)OC(=O)C)[O-])C)C=C
CC1C=C(C(=O)OC2CC[N+]3(C2(C(=CC3)COC(=O)C1(C)OC(=O)C)O)C)C=C
CC1C=C(C(=O)OC2CC[N+]3(C2(C(=CC3)COC(=O)C1(C)OC(=O)C)[O-])C)C=C
CC1C=C(C(=O)OC2CC[N+]3(C2(C(=CC3)COC(=O)C1(C)OC(=O)C)[O-])C)C=C
CC1C=C(C(=O)OC2CC[N+]3(C2(C(=CC3)COC(=O)C1(C)OC(=O)C)[O-])C)C=C"
CNICIN,"CC1=CCCC(=CC2C(C(C1)OC(=O)C(=C)C(CO)O)C(=C)C(=O)O2)CO
CC1=CCCC(=CC2C(C(C1)OC(=O)C(=C)C(CO)O)C(=C)C(=O)O2)CO
CC1=CCCC(=CC2C(C(C1)OC(=O)C(=C)C(CO)O)C(=C)C(=O)O2)CO
CC1=CCCC(=CC2C(C(C1)OC(=O)C(=C)C(CO)O)C(=C)C(=O)O2)CO
CC1=CCCC(=CC2C(C(C1)OC(=O)C(=C)C(CO)O)C(=C)C(=O)O2)CO
CC1=CCCC(=CC2C(C(C1)OC(=O)C(=C)C(CO)O)C(=C)C(=O)O2)CO
CC1=CCCC(=CC2C(C(C1)OC(=O)C(=C)C(CO)O)C(=C)C(=O)O2)CO
CC1=CCCC(=CC2C(C(C1)OC(=O)C(=C)C(CO)O)C(=C)C(=O)O2)CO
CC1=CCCC(=CC2C(C(C1)OC(=O)C(=C)C(CO)O)C(=C)C(=O)O2)CO
CC1=CCCC(=CC2C(C(C1)OC(=O)C(=C)C(CO)O)C(=C)C(=O)O2)CO
CC1=CCCC(=CC2C(C(C1)OC(=O)C(=C)C(CO)O)C(=C)C(=O)O2)CO
CC1=CCCC(=CC2C(C(C1)OC(=O)C(=C)C(CO)O)C(=C)C(=O)O2)CO
CC1=CCCC(=CC2C(C(C1)OC(=O)C(=C)C(CO)O)C(=C)C(=O)O2)CO
CC1=CCCC(=CC2C(C(C1)OC(=O)C(=C)C(CO)O)C(=C)C(=O)O2)CO"
CNIDILIDE,CCCCC1C2CCC=CC2C(=O)O1
COBALT,[Co]
COCAINE,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC
COCCULIDINE,COC1CC=C2CCN3C2(C1)C4=C(CC3)C=CC(=C4)OC
COCCULINE,COC1CC=C2CCN3C2(C1)C4=C(CC3)C=CC(=C4)O
COCCULININ,CC(=C)C1C2C3C4(C(C1C(=O)O2)(CC5C4(O5)C(=O)O3)O)C.CC12C3C4C(C(C1(CC5C2(O5)C(=O)O3)O)C(=O)O4)C(C)(C)O
COCCULOLIDINE,"COC1CC=C2CCN3C2(C1)C4=C(CC3)COC4=O
COC1CC=C2CCN3C2(C1)C4=C(CC3)COC4=O"
COCLAURINE,COC1=C(C=C2C(NCCC2=C1)CC3=CC=C(C=C3)O)O
COCSULINE,CN1CCC2=CC(=C3C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(O3)C=C8CCN7C)O4)O)OC
CODEINE,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O
CODONOPSINE,CC1C(C(C(N1C)C2=CC(=C(C=C2)OC)OC)O)O
COELOGIN,COC1=C(C(=C2COC3=CC(=CC4=C3C2=C1CC4)O)O)OC
COHUMULONE,CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O
COIXENOLIDE,CCCCCCC=CCCCCCCCCCC(=O)OC(C)C(C)OC(=O)CCCCCCCC=CCCCCCC
COIXINDEN-A,COC1=CC2=C(C=C1)C(=O)C=C2OC
COIXINDEN-B,CC(=O)C1(C=C(C2=C1C=CC(=C2)OC)OC)O
COLCHAMINE,CNC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
COLCHICINE,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC
COLCHICOSIDE,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC4C(C(C(C(O4)CO)O)O)O
COLEONE-A,CC1=C2C(=C(C3=C1C(C(O3)O)(C)CC=C)O)C(=C(C(=O)C2=O)C(C)C)O
COLEONOL,CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O
COLFORSIN,CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O
COLLININ,CC(=CCCC(=CCOC1=C(C2=C(C=C1)C=CC(=O)O2)OC)C)C
COLLINSONIDIN,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)CO)OC6C(C(C(CO6)O)OC7C(C(C(C(O7)CO)O)O)O)O)C)C)C2C1)C)C(=O)O)C
COLOCYNTHIN,CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3C=C(C(=O)C4(C)C)OC5C(C(C(C(O5)CO)O)O)O)C)C)C)O)O
COLOSIDE-A,CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3C=C(C(=O)C4(C)C)OC5C(C(C(C(O5)CO)O)O)O)C)C)C)O)O
COLUBRIN,CC(=CC1CC(C2C3CCC4C5(CCC(C(C5CCC4(C36CC2(O1)OC6)C)(C)C)OC7C(C(C(CO7)O)OC8C(C(C(C(O8)CO)O)O)OC9C(C(C(CO9)O)O)O)OC(=O)C)C)(C)O)C
COLUBRINOL,"CC1C2CC(C(C=CC=C(C(C3=CC(=C(C(=C3)OC)Cl)N(C(=O)CC(C4(C1O4)C)OC(=O)C(C)N(C)C(=O)C(C)C)C)O)C)OC)(NC(=O)O2)O
CC1C2CC(C(C=CC=C(C(C3=CC(=C(C(=C3)OC)Cl)N(C(=O)CC(C4(C1O4)C)OC(=O)C(C)N(C)C(=O)C(C)C)C)O)C)OC)(NC(=O)O2)O
CC1C2CC(C(C=CC=C(C(C3=CC(=C(C(=C3)OC)Cl)N(C(=O)CC(C4(C1O4)C)OC(=O)C(C)N(C)C(=O)C(C)C)C)O)C)OC)(NC(=O)O2)O
CC1C2CC(C(C=CC=C(C(C3=CC(=C(C(=C3)OC)Cl)N(C(=O)CC(C4(C1O4)C)OC(=O)C(C)N(C)C(=O)C(C)C)C)O)C)OC)(NC(=O)O2)O"
COLUBRINOL-ACETATE,CC1C2CC(C(C=CC=C(C(C3=CC(=C(C(=C3)OC)Cl)N(C(=O)CC(C4(C1O4)C)OC(=O)C(C)N(C)C(=O)C(C)C)C)OC(=O)C)C)OC)(NC(=O)O2)O
COLUBRINOSIDE,CC(=CC1CC(C2C3CCC4C5(CCC(C(C5CCC4(C36CC2(O1)OC6)C)(C)C)OC7C(C(C(CO7)O)OC8C(C(C(C(O8)CO)OC(=O)C)OC9C(C(C(CO9)O)O)O)O)OC(=O)C)C)(C)O)C
COLUMBAMINE,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)O)OC
COLUMBAMINE-CHLORIDE,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)O)OC.[Cl-]
COLUMBAMINE-IODIDE,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)O)OC.[I-]
COLUMBIANADIN,CC=C(C)C(=O)OC(C)(C)C1CC2=C(O1)C=CC3=C2OC(=O)C=C3
COLUPULONE,CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O
COMMERSONINE,CC1CCC2C(C3C(N2C1)CC4C3(CCC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)O)OC9C(C(C(C(O9)CO)O)O)O)OC1C(C(C(C(O1)CO)O)O)O)O)O)C)C)C
CONCANAVALIN-A,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O.CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-]
CONCHOSIN-A,CC12C3C(CCC4C1(C(CC2=O)OC4)O)C(=C)C(=O)O3
CONCHOSIN-B,CC(=O)OCC1CCC2C(C3(C1(C=CC3=O)O)C)OC(=O)C2=C
CONDELPHINE,"CCN1CC2(CCC(C34C2CC(C31)C5(CC(C6CC4C5C6OC(=O)C)OC)O)O)COC
CCN1CC2(CCC(C34C2CC(C31)C5(CC(C6CC4C5C6OC(=O)C)OC)O)O)COC
CCN1CC2(CCC(C34C2CC(C31)C5(CC(C6CC4C5C6OC(=O)C)OC)O)O)COC
CCN1CC2(CCC(C34C2CC(C31)C5(CC(C6CC4C5C6OC(=O)C)OC)O)O)COC
CCN1CC2(CCC(C34C2CC(C31)C5(CC(C6CC4C5C6OC(=O)C)OC)O)O)COC
CCN1CC2(CCC(C34C2CC(C31)C5(CC(C6CC4C5C6OC(=O)C)OC)O)O)COC
CCN1CC2(CCC(C34C2CC(C31)C5(CC(C6CC4C5C6OC(=O)C)OC)O)O)COC
CCN1CC2(CCC(C34C2CC(C31)C5(CC(C6CC4C5C6OC(=O)C)OC)O)O)COC
CCN1CC2(CCC(C34C2CC(C31)C5(CC(C6CC4C5C6OC(=O)C)OC)O)O)COC
CCN1CC2(CCC(C34C2CC(C31)C5(CC(C6CC4C5C6OC(=O)C)OC)O)O)COC
CCN1CC2(CCC(C34C2CC(C31)C5(CC(C6CC4C5C6OC(=O)C)OC)O)O)COC"
CONESSINE,CC1C2CCC3C2(CCC4C3CC=C5C4(CCC(C5)N(C)C)C)CN1C
CONFERTIFLORIN,CC1CC(C2C(C3(C1CCC3=O)C)OC(=O)C2=C)OC(=O)C
CONFERTIN,CC1CC2C(CC3(C1CCC3=O)C)C(=C)C(=O)O2
CONIFERIN,COC1=C(C=CC(=C1)C=CCO)OC2C(C(C(C(O2)CO)O)O)O
CONIFERYL-ALCOHOL,COC1=C(C=CC(=C1)C=CCO)O
CONIINE,"CCCC1CCCCN1
CCCC1CCCCN1
CCCC1CCCCN1"
CONODURAMINE,"CCC1CC2CC3(C1N(C2)CCC4=C3NC5=CC(=C(C=C45)C6CC7C(C(CC8=C6NC9=CC=CC=C89)N(CC7=CC)C)C(=O)OC)OC)C(=O)OC
CCC1CC2CC3(C1N(C2)CCC4=C3NC5=CC(=C(C=C45)C6CC7C(C(CC8=C6NC9=CC=CC=C89)N(CC7=CC)C)C(=O)OC)OC)C(=O)OC
CCC1CC2CC3(C1N(C2)CCC4=C3NC5=CC(=C(C=C45)C6CC7C(C(CC8=C6NC9=CC=CC=C89)N(CC7=CC)C)C(=O)OC)OC)C(=O)OC
CCC1CC2CC3(C1N(C2)CCC4=C3NC5=CC(=C(C=C45)C6CC7C(C(CC8=C6NC9=CC=CC=C89)N(CC7=CC)C)C(=O)OC)OC)C(=O)OC
CCC1CC2CC3(C1N(C2)CCC4=C3NC5=CC(=C(C=C45)C6CC7C(C(CC8=C6NC9=CC=CC=C89)N(CC7=CC)C)C(=O)OC)OC)C(=O)OC"
CONODURINE,"CCC1CC2CC3(C1N(C2)CCC4=C3NC5=C4C=CC(=C5C6CC7C(C(CC8=C6NC9=CC=CC=C89)N(CC7=CC)C)C(=O)OC)OC)C(=O)OC
CCC1CC2CC3(C1N(C2)CCC4=C3NC5=C4C=CC(=C5C6CC7C(C(CC8=C6NC9=CC=CC=C89)N(CC7=CC)C)C(=O)OC)OC)C(=O)OC
CCC1CC2CC3(C1N(C2)CCC4=C3NC5=C4C=CC(=C5C6CC7C(C(CC8=C6NC9=CC=CC=C89)N(CC7=CC)C)C(=O)OC)OC)C(=O)OC
CCC1CC2CC3(C1N(C2)CCC4=C3NC5=C4C=CC(=C5C6CC7C(C(CC8=C6NC9=CC=CC=C89)N(CC7=CC)C)C(=O)OC)OC)C(=O)OC
CCC1CC2CC3(C1N(C2)CCC4=C3NC5=C4C=CC(=C5C6CC7C(C(CC8=C6NC9=CC=CC=C89)N(CC7=CC)C)C(=O)OC)OC)C(=O)OC"
CONOPHARYNGINE,"CCC1CC2CC3(C1N(C2)CCC4=C3NC5=CC(=C(C=C45)OC)OC)C(=O)OC
CCC1CC2CC3(C1N(C2)CCC4=C3NC5=CC(=C(C=C45)OC)OC)C(=O)OC
CCC1CC2CC3(C1N(C2)CCC4=C3NC5=CC(=C(C=C45)OC)OC)C(=O)OC
CCC1CC2CC3(C1N(C2)CCC4=C3NC5=CC(=C(C=C45)OC)OC)C(=O)OC
CCC1CC2CC3(C1N(C2)CCC4=C3NC5=CC(=C(C=C45)OC)OC)C(=O)OC
CCC1CC2CC3(C1N(C2)CCC4=C3NC5=CC(=C(C=C45)OC)OC)C(=O)OC
CCC1CC2CC3(C1N(C2)CCC4=C3NC5=CC(=C(C=C45)OC)OC)C(=O)OC"
CONSOLIDINE,CCN1CC2(CCC(C34C2C(C(C31)(C5(CC(C6CC4C5C6OC)OC)OC)O)O)O)COC
CONVALLAMARIN,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3CC(CC4C3(C5CCC6C(C5CC4)CC7C6(C(C(O7)(CCC(=C)COC8C(C(C(C(O8)CO)O)O)O)O)C)C)C)OC9C(C(C(C(O9)C)OC1C(C(C(C(O1)CO)O)O)O)O)O)C)O)O)O
CONVALLAMAROSIDE,CC1C2C(CC3C2(CCC4C3CCC5C4(C(CC(C5)OC6C(C(C(C(O6)C)OC7C(C(C(C(O7)CO)O)O)O)O)O)OC8C(C(C(C(O8)C)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)OC1(CCC(=C)COC1C(C(C(C(O1)CO)O)O)O)O
CONVALLATOXIN,CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3(C2)O)O)C6=CC(=O)OC6)C)C=O)O)O)O
COPALLIFEROL-A,C1=CC(=CC=C1C2C3C(C4C(C(C5=C4C=C(C=C5O)O)C6=CC=C(C=C6)O)C7=C2C(=CC(=C7)O)O)C8=C(C=C(C=C8)O)C9=C3C=C(C=C9O)O)O
COPALLIFEROL-B,C1=CC(=CC=C1C2C3C(C4=C2C(=CC(=C4)O)O)C(=C(C(C5=C3C=C(C=C5O)O)C6=CC=C(C=C6)O)C7=CC(=CC(=C7)O)O)C8=CC=C(C=C8)O)O
COPPER,[Cu]
COPPER-SALICYLATE,C1=CC=C(C(=C1)C(=O)O)O.C1=CC=C(C(=C1)C(=O)O)O.[Cu]
COPTISINE,C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6
CORALYNE,"CC1=C2C=C(C(=CC2=CC3=[N+]1C=CC4=CC(=C(C=C43)OC)OC)OC)OC.[Cl-]
CC1=C2C=C(C(=CC2=CC3=[N+]1C=CC4=CC(=C(C=C43)OC)OC)OC)OC"
CORCHOROSIDE-A,CC1C(C(CC(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3(C2)O)O)C6=CC(=O)OC6)C)C=O)O)O
COREXIMINE,COC1=C(C=C2C3CC4=CC(=C(C=C4CN3CCC2=C1)OC)O)O
